transaction_id,transaction_amount,transaction_hour,distance_from_home_km,merchant_risk_score,transactions_last_24h,device_change_count,account_age_days,failed_attempts,international_transaction,actual_anomaly,transaction_datetime
TXN001964,50.36971647360756,8,10.459717151596795,0.22300057786630764,2,0,2205,1,0,0,2026-03-11 08:52:00
TXN008244,79.05034198974799,18,3.1644869337072232,0.2119308311187241,3,0,2464,0,0,0,2026-02-02 18:39:00
TXN006591,28.781659687635262,12,20.44601663008782,0.3290684914174542,2,0,1102,0,0,0,2026-01-06 12:32:00
TXN008848,35.835882350403466,12,1.9191682253517033,0.3722712759256207,5,0,1942,1,0,0,2026-02-19 12:06:00
TXN000322,48.7571603939516,16,7.438441791332453,0.10219540513043562,3,1,1352,0,0,0,2026-03-13 16:15:00
TXN002679,35.23266832554949,9,3.5787254972164835,0.2959134000763839,1,0,959,0,0,0,2026-02-22 09:57:00
TXN004626,75.18768950380536,11,6.288904691481351,0.05073084790349028,5,0,1542,0,0,0,2026-03-01 11:38:00
TXN004950,43.922500118690735,11,2.346988868697512,0.1317984292794058,2,0,1985,0,0,0,2026-02-27 11:24:00
TXN008329,34.35446245219292,11,2.352121179784743,0.5039598426489279,3,0,1013,1,0,0,2026-01-24 11:26:00
TXN003338,30.059235413376378,11,2.5805929864808608,0.3300081610423484,5,0,1851,0,0,0,2026-02-03 11:19:00
TXN005590,90.12617084651824,15,6.456061158665415,0.3179533211773675,5,1,782,0,0,0,2026-03-31 15:36:00
TXN000252,60.13609632053595,12,4.07191414869699,0.35411860010799917,5,0,1571,0,0,0,2026-03-26 12:08:00
TXN003974,35.03520820650668,12,13.271782083035191,0.3743830302233172,7,0,727,0,0,0,2026-02-01 12:12:00
TXN006631,11.94970027265731,8,2.1020964155017183,0.460816160527559,6,1,2163,1,0,0,2026-01-21 08:12:00
TXN005548,44.91787178242455,7,10.376552148003434,0.2939630491884255,5,0,707,1,0,0,2026-02-05 07:44:00
TXN000036,14.976040551822086,15,17.9419083434525,0.12294093467782718,6,2,1578,0,0,0,2026-02-08 15:39:00
TXN008363,14.007988569042878,16,0.9407358506548985,0.2297789165482641,2,1,1004,0,0,0,2026-03-13 16:10:00
TXN001514,9.842908029951937,10,2.7932610284271755,0.39053670212845,5,0,1284,2,0,0,2026-01-06 10:43:00
TXN009318,17.318543002192115,15,13.725386129527347,0.2455144790874026,3,0,320,1,0,0,2026-02-14 15:00:00
TXN000040,37.63595348834633,10,28.11844648781206,0.1635681202833664,6,0,1088,0,0,0,2026-01-06 10:16:00
TXN004820,27.61392429254774,11,13.250804857228099,0.388253483251237,3,3,1351,1,0,0,2026-02-23 11:09:00
TXN003466,13.889434799125079,11,11.58986542304969,0.4246501351249583,4,2,1631,0,0,0,2026-02-06 11:08:00
TXN001761,96.15648765710898,17,10.44459390300081,0.2966184887612932,3,0,1155,1,0,0,2026-01-30 17:41:00
TXN002305,121.16870956044488,13,4.52006717848065,0.33928634286036413,5,0,2071,0,0,0,2026-02-08 13:45:00
TXN003724,10.369366674473332,11,21.776878600395047,0.5421651199966032,3,0,2179,0,0,0,2026-01-24 11:13:00
TXN008285,17.24199949638703,7,3.446330083619503,0.3118558536394286,4,0,1857,0,0,0,2026-02-06 07:27:00
TXN004994,47.86581723586488,15,6.981025999511229,0.3401367243099204,4,0,791,0,0,0,2026-01-24 15:37:00
TXN008128,17.899646832202595,22,3.5204054794659,0.34507656782968427,5,2,42,0,0,0,2026-02-03 22:03:00
TXN003033,44.46848175954045,17,1.2537563236169567,0.3982941067298718,6,0,1112,0,0,0,2026-03-21 17:33:00
TXN007939,87.5358006007868,8,4.346910138566176,0.1218535031409698,5,0,2067,0,0,0,2026-03-23 08:19:00
TXN003040,28.95383509197001,18,2.5818838513519,0.4503930804935794,2,0,1833,0,0,0,2026-02-25 18:16:00
TXN009656,846.7449329705879,5,74.42323921351,0.5668926766936848,16,5,142,5,1,1,2026-01-28 05:17:00
TXN002546,43.87847524376928,14,2.0742579452343652,0.24754457315771974,6,2,2200,0,0,0,2026-01-24 14:10:00
TXN002593,32.2063874904842,17,8.24840273054309,0.2260940900074533,2,1,494,1,1,0,2026-03-02 17:23:00
TXN001189,47.34843959386076,22,2.2024980432359507,0.2710325547760019,4,0,926,1,0,0,2026-01-23 22:49:00
TXN007967,64.69360145881106,18,9.179837664831384,0.10546187764395742,3,0,1134,0,0,0,2026-03-29 18:57:00
TXN006078,18.5037206003986,14,12.88274031685823,0.3377762913445661,2,0,859,1,0,0,2026-03-07 14:20:00
TXN000108,37.094754754607756,22,11.87694597581972,0.3271444610394386,4,0,1018,0,0,0,2026-02-28 22:31:00
TXN001316,14.11596531928031,19,3.0434139949314822,0.30429751958630197,5,1,1660,0,0,0,2026-01-27 19:08:00
TXN008188,49.945909213877684,8,2.4848228354194255,0.37936175680353057,6,0,2071,0,0,0,2026-02-20 08:45:00
TXN002754,30.022751797630203,14,3.5369822444834242,0.3739356768709451,4,1,330,0,0,0,2026-02-09 14:47:00
TXN009754,1378.1334209805266,1,100.69648898707918,0.8381991926353479,19,4,228,2,1,1,2026-02-25 01:22:00
TXN006232,26.145506973855277,10,16.940250889985112,0.3980980174097164,4,0,1162,0,0,0,2026-01-18 10:02:00
TXN002877,18.016191050414555,15,5.113076931945497,0.0,7,2,2465,0,0,0,2026-03-24 15:56:00
TXN005324,37.9662260417305,17,6.739639074564581,0.20838403428142405,5,0,1443,0,0,0,2026-01-13 17:16:00
TXN000800,33.76218842601273,10,2.1505673289839806,0.5517170785488227,8,0,1414,1,0,0,2026-01-15 10:07:00
TXN003571,27.293172229641687,9,12.3011994632178,0.3406075617940367,4,0,607,0,0,0,2026-01-10 09:27:00
TXN002895,46.07979722083723,10,9.508513528946015,0.49231869197098704,4,0,2005,0,0,0,2026-01-09 10:57:00
TXN002928,38.07521589650851,10,29.97940359094179,0.42928750339470734,5,0,832,0,0,0,2026-03-30 10:02:00
TXN008179,54.16694449814684,12,6.360415859592388,0.14465969991451338,7,0,277,0,0,0,2026-01-08 12:23:00
TXN000972,21.27039973999492,12,1.1871623029376348,0.27503156407615026,4,0,2346,1,0,0,2026-02-14 12:56:00
TXN006688,18.146814443140794,17,12.114190587458276,0.1253626706964239,3,1,1402,0,0,0,2026-03-14 17:43:00
TXN008576,43.111322099600635,21,6.402969378318825,0.36741200355069414,5,0,1657,0,0,0,2026-01-20 21:45:00
TXN002021,34.43096172330142,21,4.695899528847617,0.22482373535366595,3,0,2246,0,0,0,2026-02-04 21:20:00
TXN009055,10.655259525455785,12,4.175531428335725,0.38798430297140907,3,1,677,0,0,0,2026-03-13 12:45:00
TXN000953,14.68019599530725,16,4.46216557594452,0.3353801162523235,6,0,1457,1,0,0,2026-02-24 16:16:00
TXN005360,27.697732608790208,11,2.4272824012128846,0.2490854863823384,6,0,603,0,0,0,2026-01-21 11:56:00
TXN003858,48.636632744312536,13,3.7655342757737817,0.21763917771757035,2,0,380,1,1,0,2026-01-10 13:04:00
TXN005862,73.56869799181433,17,4.952098427535961,0.39965556330062746,5,0,2344,0,0,0,2026-01-06 17:29:00
TXN003146,44.94900935209955,18,8.109713263153951,0.05292685935754232,4,2,242,0,0,0,2026-02-04 18:06:00
TXN003306,66.01560326343052,21,6.084351773823318,0.3866516819650631,4,0,511,0,0,0,2026-02-04 21:08:00
TXN003007,45.418685175620055,14,2.7214176731316635,0.48759524975329427,7,0,702,1,1,0,2026-01-26 14:25:00
TXN009002,66.53434340732181,14,8.370225396863052,0.25103205632834324,8,1,1842,0,0,0,2026-02-27 14:46:00
TXN007771,59.108428948431985,22,4.779170211633645,0.44587216193796325,2,0,174,0,0,0,2026-03-05 22:33:00
TXN007439,12.379107520019005,15,3.742128552537624,0.2289447905998841,5,0,1697,1,0,0,2026-02-11 15:46:00
TXN007943,12.95456705616079,12,11.655631939433047,0.38304102151298147,4,1,49,0,1,0,2026-02-14 12:44:00
TXN009239,19.20296660930532,22,13.55842314057046,0.346762581868144,3,1,751,1,0,0,2026-01-17 22:12:00
TXN001057,32.56994249991158,9,2.557420614891192,0.4779337302217703,5,0,543,1,0,0,2026-01-01 09:26:00
TXN003155,16.86004322703358,22,4.342716115966353,0.2709607169450125,3,0,612,0,0,0,2026-03-20 22:15:00
TXN003788,18.626556924231945,22,2.293283841197852,0.4772679975191184,7,0,1317,1,0,0,2026-02-24 22:49:00
TXN009190,94.3197341202884,19,4.39831351081093,0.35175292217841775,4,0,103,0,0,0,2026-02-23 19:43:00
TXN007826,70.6428345255773,22,5.129129804077559,0.2975509713560192,3,0,2308,0,0,0,2026-03-19 22:24:00
TXN007540,27.05550818633436,10,14.665345349363282,0.3183865336681933,5,0,1923,1,0,0,2026-02-06 10:53:00
TXN007232,99.17701024838507,15,5.157101945099799,0.27558575016951947,5,1,253,0,0,0,2026-01-21 15:01:00
TXN000765,69.8973447483632,8,4.651716370207025,0.25595297067479433,6,0,2070,0,0,0,2026-03-17 08:45:00
TXN005020,42.89673527960465,8,0.9685126370701216,0.3588310183839915,2,0,1123,1,0,0,2026-02-17 08:42:00
TXN004904,25.981263409428937,14,6.388703480389088,0.3743171897674126,5,1,2022,0,0,0,2026-02-11 14:09:00
TXN008094,24.089572714720532,13,2.0363064333812875,0.3837480887491704,4,0,949,1,1,0,2026-02-26 13:32:00
TXN006844,19.0472996739186,18,6.703044682761421,0.37781395215695973,5,0,582,0,0,0,2026-03-07 18:02:00
TXN002166,17.118996876112224,17,6.910850392445136,0.1959427912984805,4,0,2007,0,0,0,2026-03-11 17:19:00
TXN001863,55.465858447783766,15,4.29363223744922,0.28354258099709234,5,1,1226,0,0,0,2026-01-27 15:23:00
TXN007851,121.70229455046555,11,7.362777736013812,0.31145787654554213,5,0,496,0,0,0,2026-01-30 11:13:00
TXN009124,33.42053166286616,22,4.389976083533031,0.2588147809205505,4,1,2109,2,1,0,2026-02-09 22:21:00
TXN002341,52.15596065198577,10,15.34761923829007,0.28681370983227095,3,0,1220,0,0,0,2026-03-21 10:44:00
TXN005528,33.39740469914032,10,22.82112471938983,0.293095315766414,8,1,749,0,0,0,2026-01-05 10:38:00
TXN006744,12.552244880177248,10,3.7361461850915956,0.19822542935627574,4,1,1594,0,0,0,2026-01-08 10:46:00
TXN004004,45.02463231547344,15,4.265258756971257,0.29521496280961734,2,0,2032,1,0,0,2026-02-12 15:43:00
TXN001124,15.753251788533738,11,3.9459628267862334,0.24056082972956033,4,0,1368,0,0,0,2026-01-28 11:44:00
TXN008710,18.760816657697497,21,7.035247480976445,0.4709744578861108,2,1,1769,2,0,0,2026-03-19 21:41:00
TXN004050,42.76198823000366,7,22.45902745781535,0.17809779033224782,5,1,1925,0,0,0,2026-01-09 07:24:00
TXN007641,8.632686763462875,22,16.860902260483705,0.3446356712050652,2,1,399,0,0,0,2026-03-06 22:21:00
TXN000766,20.96669703962865,20,3.015862400123751,0.42506956165192933,4,0,642,0,0,0,2026-02-22 20:07:00
TXN002345,8.168841520682294,18,4.312447534801632,0.2292877768973384,5,1,2479,0,0,0,2026-02-26 18:23:00
TXN004072,20.94555635798659,7,2.963375556330585,0.06767444332617026,4,0,931,0,0,0,2026-01-31 07:08:00
TXN007217,22.546806236444144,22,3.4906391366882326,0.353640992362938,3,0,1470,0,0,0,2026-03-22 22:31:00
TXN004217,110.69966724191033,7,7.425925497571084,0.2688353392505942,2,0,2043,0,0,0,2026-03-17 07:03:00
TXN007953,27.77839584120119,13,6.089078005939709,0.4044532317008255,4,0,417,0,0,0,2026-02-10 13:52:00
TXN005971,62.440474535674255,17,6.493217610243119,0.3238669442870718,4,0,364,0,0,0,2026-02-16 17:34:00
TXN003351,23.62705274572216,19,4.489474681697745,0.2902358578839942,10,0,821,0,0,0,2026-03-16 19:16:00
TXN004696,29.11265066173236,18,5.209582237220104,0.44098837510498423,4,0,1398,0,0,0,2026-03-25 18:03:00
TXN003400,25.460842276589588,8,8.505754447270089,0.2582069474708605,4,0,879,0,0,0,2026-01-06 08:41:00
TXN004082,21.034631774196118,19,15.763716470234431,0.21114761193247117,8,0,1109,0,0,0,2026-01-30 19:37:00
TXN009150,43.42205495367961,8,6.126879425039086,0.11509067585086802,4,1,1736,0,1,0,2026-02-22 08:33:00
TXN001225,29.35793952829088,16,5.89426238876705,0.2363736894397585,6,0,698,1,1,0,2026-03-11 16:10:00
TXN006293,45.99867559169656,13,14.156695396957682,0.33291042248547126,2,0,402,0,1,0,2026-03-22 13:48:00
TXN003123,45.57161216943511,7,2.441351778611482,0.2887009376496739,5,0,2154,1,0,0,2026-02-12 07:34:00
TXN000511,39.480107472271214,16,5.1360137201727465,0.4520675949097469,4,1,543,0,0,0,2026-01-01 16:53:00
TXN005795,27.51843078285561,21,2.0141107180673115,0.4322583727526812,5,3,1960,1,0,0,2026-02-07 21:07:00
TXN008182,40.17134841320487,20,6.988920740131688,0.21627639601776535,4,0,1763,0,0,0,2026-01-20 20:01:00
TXN009418,42.50985766406701,15,5.423094696593293,0.24790296164183886,2,0,173,1,0,0,2026-01-31 15:14:00
TXN000097,40.14420836668447,9,2.561803108394439,0.18853157263044767,3,0,741,0,0,0,2026-02-05 09:09:00
TXN006682,39.418402584516414,16,7.995801012983565,0.4691199128557021,7,0,436,0,1,0,2026-02-02 16:46:00
TXN001513,20.781548291050566,21,3.279263738729174,0.1835483083731707,3,0,297,0,1,0,2026-01-13 21:32:00
TXN008792,25.1401030697291,13,13.405192691815294,0.0915360211413839,7,0,623,0,0,0,2026-02-03 13:22:00
TXN000120,53.98771233107307,16,1.4320898555731885,0.1983446597156452,5,0,1336,0,0,0,2026-03-15 16:29:00
TXN007792,19.771691166362718,18,7.586073937141347,0.35567573964519134,7,1,365,0,0,0,2026-03-29 18:44:00
TXN006518,36.372471339009316,10,4.058900821246141,0.5082238953566175,4,1,1626,0,0,0,2026-03-03 10:20:00
TXN000034,16.651293418109873,13,3.246989053168391,0.0,4,0,568,0,0,0,2026-02-15 13:05:00
TXN007888,11.2921064466358,10,13.019013423949469,0.1750212773502104,4,0,2337,0,0,0,2026-01-12 10:33:00
TXN006831,44.14616076183195,16,1.9646924692327836,0.3413004809199501,6,0,696,0,0,0,2026-03-27 16:29:00
TXN005422,15.275266806996282,20,1.3001406347605313,0.5139221423710355,2,1,1773,0,0,0,2026-03-14 20:17:00
TXN001069,24.43445482275051,14,11.63972441631861,0.330942218776301,6,0,1582,0,0,0,2026-01-03 14:49:00
TXN001348,60.78286613734561,14,16.548038069779746,0.35294216141695023,5,0,1416,0,0,0,2026-02-10 14:34:00
TXN004748,16.34656699435138,14,4.217707427335573,0.09020391786178983,6,1,2156,0,0,0,2026-03-31 14:39:00
TXN006006,57.06268589624494,8,3.8537601412888267,0.1518629474917854,3,1,1325,0,1,0,2026-01-22 08:29:00
TXN006040,56.33122685390699,13,4.767856536170805,0.11254091396680843,5,1,64,0,0,0,2026-02-15 13:18:00
TXN003818,30.556461987058427,22,17.27967949529086,0.27995683288728224,4,1,65,0,0,0,2026-03-18 22:51:00
TXN008447,51.032743056392185,19,12.649867051851393,0.1365494712653064,5,0,277,0,0,0,2026-03-21 19:35:00
TXN005270,53.021037224157105,20,7.475472696441194,0.5804591948917508,4,0,1442,0,0,0,2026-02-11 20:21:00
TXN006898,15.931914056813863,7,4.509426276887534,0.5608456083678357,2,0,1597,0,0,0,2026-01-23 07:27:00
TXN005310,17.52833047787639,17,5.319934466648829,0.3260328170315953,4,2,522,0,0,0,2026-03-25 17:55:00
TXN000032,110.38572466711415,12,8.97772666886782,0.46253518611983296,5,0,275,0,0,0,2026-01-11 12:33:00
TXN005675,14.050675544786843,7,7.8030891418710935,0.2617692687523706,5,0,1622,0,0,0,2026-02-22 07:39:00
TXN004387,21.19824853007619,15,8.357054023056877,0.4049770219063461,5,1,665,0,0,0,2026-03-21 15:35:00
TXN000030,27.396056033060795,19,8.277866531126008,0.22410181502675786,3,0,225,2,1,0,2026-03-27 19:04:00
TXN004203,17.451040240912167,9,5.449177120983113,0.26622092484138365,2,0,1971,0,0,0,2026-03-24 09:29:00
TXN007508,20.00246882145354,14,10.641012274201856,0.3878276481012947,4,0,309,0,0,0,2026-01-18 14:10:00
TXN000736,45.02367054423112,22,25.80495822486735,0.2800470944174239,4,0,286,0,0,0,2026-01-05 22:45:00
TXN002068,30.347633613935763,13,5.01361785654565,0.1889239039587699,4,0,1180,1,0,0,2026-03-19 13:10:00
TXN000107,112.84563645961845,7,2.9766358677663645,0.36005860568476544,7,2,2263,0,0,0,2026-02-08 07:52:00
TXN009645,509.41026827832997,0,126.10702876492027,0.8555452577446364,17,8,101,4,0,1,2026-01-06 00:29:00
TXN008895,15.957408703939757,20,7.628806704512896,0.3179937741101701,4,0,701,2,0,0,2026-03-07 20:26:00
TXN008021,7.0264113281732605,9,11.729428579751223,0.18156925739953172,7,0,46,1,0,0,2026-03-28 09:40:00
TXN002233,9.202107358096843,9,6.099166415011758,0.3295852924467504,2,2,122,0,0,0,2026-03-15 09:23:00
TXN000994,21.257509874613152,21,5.5741408371654275,0.3785808302872985,1,1,1134,0,0,0,2026-02-22 21:16:00
TXN009413,47.6151950434943,20,4.317239512317387,0.0,5,0,1799,1,0,0,2026-01-04 20:45:00
TXN007059,117.86261645827032,10,18.476144069912294,0.3118935850391189,5,0,1536,0,0,0,2026-02-27 10:32:00
TXN006790,51.770857314074995,14,2.895147389437901,0.347668907951293,4,1,1459,1,1,0,2026-01-18 14:45:00
TXN000361,46.41279772570469,20,12.49891913502227,0.2853519468950508,3,0,798,0,0,0,2026-02-07 20:41:00
TXN000305,32.668586671170026,22,12.92177764472546,0.3257138556053493,4,0,2226,0,0,0,2026-02-03 22:25:00
TXN002628,52.12460630299865,13,19.370923518569633,0.13693343015533915,6,1,882,0,0,0,2026-03-23 13:26:00
TXN008966,12.1303834624092,21,8.801849172608637,0.188364277955278,1,1,806,0,0,0,2026-01-18 21:05:00
TXN004514,18.026851670569833,8,17.037291009793275,0.3462607652364931,2,1,954,1,0,0,2026-03-19 08:41:00
TXN005911,46.00398536507112,9,19.841280548906482,0.27593947400279806,4,0,1587,0,0,0,2026-03-14 09:30:00
TXN008314,19.046173162926735,17,18.851299888907832,0.14265420086794706,4,0,2231,0,0,0,2026-02-05 17:49:00
TXN003101,20.916113249619197,21,15.528265855750849,0.434405482191781,6,0,1388,1,0,0,2026-01-19 21:42:00
TXN005704,22.364876049290253,12,11.479963348354469,0.3230690251347444,1,1,1659,0,0,0,2026-01-29 12:44:00
TXN003899,43.775378946459455,20,3.442209052993754,0.22135494849559534,4,2,595,1,0,0,2026-01-08 20:16:00
TXN005441,22.392724628689603,18,4.180788997292332,0.3993075874099081,7,0,1733,2,0,0,2026-01-31 18:10:00
TXN007931,49.17442435337422,22,18.20476880945362,0.14351585930080135,5,0,1294,0,0,0,2026-02-05 22:56:00
TXN000622,44.990638380475446,7,6.3904035248572395,0.35854832853304597,4,0,263,1,0,0,2026-02-25 07:27:00
TXN007236,76.41265998442674,15,1.5206108614963758,0.27972788295331075,3,1,2218,1,0,0,2026-02-07 15:28:00
TXN002499,55.35360192318398,20,5.629654280645194,0.44847388633683205,4,1,2490,0,0,0,2026-01-28 20:59:00
TXN000714,42.92431610483038,20,5.469191962142167,0.21981679872606247,3,1,1158,0,0,0,2026-02-16 20:35:00
TXN008404,29.665110216750346,14,9.189082480292273,0.15429018336080838,6,0,567,0,0,0,2026-01-06 14:02:00
TXN002856,23.722462001342173,9,6.872714127281489,0.08215685464057743,7,0,1697,1,0,0,2026-02-26 09:21:00
TXN004270,60.5891897448684,13,16.72677486289645,0.4172183234005999,5,0,2113,1,0,0,2026-03-14 13:41:00
TXN002909,24.71700930103749,8,8.613308229940772,0.24883159121385398,4,0,99,0,0,0,2026-02-21 08:28:00
TXN008081,21.046057530074517,19,25.96193443295908,0.23641039324426194,3,0,738,0,0,0,2026-03-29 19:23:00
TXN004517,25.246063730481957,14,5.8680703682510895,0.17771069152161528,5,0,2082,1,1,0,2026-01-15 14:18:00
TXN001262,34.792557689707664,17,8.534380642886367,0.33358476377722335,3,0,1321,1,0,0,2026-01-31 17:35:00
TXN003161,22.326466150921334,21,3.5817971087231957,0.3574278658449097,2,0,860,0,0,0,2026-03-10 21:26:00
TXN000971,35.99096265903699,11,6.748511549215087,0.46408452698490166,2,0,1747,0,0,0,2026-02-01 11:47:00
TXN003913,63.82574672239191,7,6.189150650530601,0.26012075140075613,4,2,1455,0,0,0,2026-01-11 07:27:00
TXN005199,19.102471107721342,11,4.364891107964072,0.5563923022898469,4,0,542,0,0,0,2026-02-25 11:36:00
TXN008847,26.484463083563924,16,15.226335283742854,0.1386823844235663,3,1,1854,0,0,0,2026-02-10 16:18:00
TXN000260,54.7902432231433,7,8.805338984394051,0.09258563538934159,5,0,2413,0,0,0,2026-03-31 07:45:00
TXN003791,48.47304015303106,9,19.362501857574745,0.37410771573010876,2,1,79,1,0,0,2026-03-29 09:23:00
TXN009203,24.073268833773216,10,14.089567960802775,0.31006878255492015,3,0,1567,1,0,0,2026-02-07 10:08:00
TXN000488,16.395285068147636,11,7.688859418046423,0.10585680264139138,5,0,1629,0,0,0,2026-03-18 11:19:00
TXN007908,27.634294923238862,20,6.076061150935356,0.49228661973610666,3,0,1040,1,0,0,2026-02-18 20:27:00
TXN000519,35.324119357257956,21,3.227203531222228,0.34489543829225633,5,0,2287,0,0,0,2026-03-22 21:13:00
TXN008343,177.56253897388316,9,12.624488173774294,0.4257336156107664,4,1,1235,0,0,0,2026-01-25 09:36:00
TXN000312,67.64036727005103,16,23.86301876057408,0.4892282615772847,3,0,1701,0,0,0,2026-01-19 16:37:00
TXN003232,8.874880606458708,15,6.331509442831464,0.38241598955872086,2,0,669,0,0,0,2026-02-12 15:37:00
TXN007933,29.56167725913111,16,11.579579972786906,0.25289260463384255,2,1,648,0,0,0,2026-03-17 16:37:00
TXN007458,54.253907874840664,22,10.90834280231267,0.41819748913687743,3,0,1206,0,0,0,2026-03-09 22:22:00
TXN009784,288.3940562604664,4,234.41909275653367,0.7169272415007226,20,4,443,3,0,1,2026-03-02 04:25:00
TXN005184,42.050941107715026,19,4.073792961584715,0.20598859523047003,4,0,835,0,0,0,2026-02-08 19:54:00
TXN008077,31.382376134389837,18,3.4308217182911247,0.3986222095820617,1,1,2033,0,0,0,2026-03-08 18:49:00
TXN006502,15.080396767297376,22,9.630284682185177,0.23922779692248503,3,0,517,0,0,0,2026-03-18 22:38:00
TXN006791,31.2633429833349,16,3.066204836401873,0.3662838470829366,3,0,235,0,0,0,2026-03-15 16:07:00
TXN007773,27.418364790116737,19,12.416063188632716,0.2424178965784109,1,0,1537,0,0,0,2026-01-19 19:02:00
TXN002738,41.3684946535504,8,9.314543086560485,0.3829135263530339,3,0,1376,1,0,0,2026-02-13 08:37:00
TXN007842,24.751337570185317,11,3.4896910918979325,0.31557988847311713,6,0,1691,0,0,0,2026-03-12 11:44:00
TXN006262,54.74061789329164,21,3.9593488191411104,0.39174464930996133,5,0,1174,0,0,0,2026-01-11 21:12:00
TXN008206,24.771208212700714,16,3.1586818556913636,0.10399039066412272,3,1,1370,1,0,0,2026-02-21 16:50:00
TXN001248,20.075845977904198,20,3.3700195115138727,0.178878027846044,2,0,758,1,0,0,2026-02-23 20:41:00
TXN009336,29.318986178772935,18,7.286758419159435,0.3205487969554277,2,0,331,0,0,0,2026-02-07 18:25:00
TXN004195,7.018121463063427,15,17.569895039721462,0.463242139798983,5,0,2280,0,0,0,2026-03-13 15:54:00
TXN008001,32.41215732770498,19,10.54028866823773,0.40270216284268334,2,0,790,0,0,0,2026-01-14 19:18:00
TXN007378,49.2021876718527,21,3.5690582617055844,0.26080016336116246,2,1,1042,1,0,0,2026-02-26 21:10:00
TXN003435,145.05058857392407,18,21.46263720645541,0.27118232813526283,1,0,1931,0,0,0,2026-03-19 18:48:00
TXN005382,22.134735498310466,20,7.824528798643259,0.30970606433077974,7,0,1061,0,0,0,2026-03-08 20:41:00
TXN000959,47.95910804781235,11,5.6377145923495915,0.30507112510537726,5,0,1505,0,0,0,2026-02-11 11:51:00
TXN000417,90.76273411157636,10,2.971060763362695,0.25482758256424864,6,0,563,2,0,0,2026-03-24 10:41:00
TXN005742,17.37138471122403,16,16.14772553399907,0.3410816257470681,3,0,818,2,0,0,2026-01-15 16:28:00
TXN006728,28.638239539090275,22,2.8482740851340926,0.25413537175403095,2,1,1184,1,0,0,2026-02-28 22:07:00
TXN004382,37.13364324206213,19,4.353649719822371,0.1940812856195605,2,0,1230,0,0,0,2026-02-16 19:08:00
